year,event_id,fleet_class,rank,sail_number,boat_name,boat_type,owner_skipper
2015,1439,Classics,4,CAN 7315,7315,Star,John Hokanson
2015,1439,Alpha A3,8,CAN 99050,Agent 99,C&C 99,Rob Crutcher
2015,1439,Alpha A1,1,Can 430,Agincourt,N/M 43CR,Bob Cragg
2015,1439,International One Design,5,CAN 4,Aileen,IOD,Michael Kelley
2015,1439,Non-Spinnaker D1,2,CAN B96,Akubra,J 44,Reginald Goodday
2015,1439,Bluenose,13,CAN 154,All That JAS,Bluenose,Steve Stairs
2015,1439,Bravo B3,8,CAN 203,Ascent,Kirby 25,David Bezanson
2015,1439,Non-Spinnaker D2,4,CAN 20250,Aspire II,Catalina 27,James Gaw
2015,1439,Bluenose,6,B 227,Barbarian,Bluenose,Keith Fox
2015,1439,Bravo B2,4,CAN 33149,Bazinga!,C&C 33,Donald K Walker
2015,1439,International One Design,4,CAN 10,Bella,IOD,Ted Murphy
2015,1439,Sonar,1,CAN 834,Bella Rena,Sonar,Henry Demone
2015,1439,Alpha A2,5,CAN 51450,Black Pearl,J 120,Ross Leighton
2015,1439,Bravo B1,12,CAN 610,Blackjack,J 70,Kim Gibson
2015,1439,Alpha A1,4,CAN 35038,Brigand,ID35,Shawn Mulrooney
2015,1439,Alpha A2,3,CAN 144,Brilliance,J 120,Richard Calder
2015,1439,Alpha A1,6,USA 39503,Chaos,Farr 395,Mark Gosine
2015,1439,Alpha A1,3,CAN 35026,Climax,1D35,Nathan Reece / Emmanuel Comtois
2015,1439,Alpha A3,9,CAN 25444,Crackerjack!!!,J 35,John Traves
2015,1439,Bluenose,4,CAN 279,Dart,Bluenose,John Grantmyre
2015,1439,Alpha A2,1,CAN 50271,Deviation,J 120,Stu McCrea
2015,1439,Non-Spinnaker D2,6,CAN 504,Domino,Dullia 30,Bob  Fraser
2015,1439,Sonar,3,CAN 571,Echo,Sonar,John Whynacht
2015,1439,International One Design,3,CAN 7,Elida,IOD,Jay Nadelson
2015,1439,Bluenose,8,CAN B45,Esprit,Bluenose,Andrew Murphy
2015,1439,Bravo B1,7,CAN 235,Favourite Child,J 29,Carlisle & Erin Norwood
2015,1439,Bluenose,20,CAN 274,Feather,Bluenose,Sara Filbee
2015,1439,Bluenose,1,CAN 101,Fish 'n Chips,Bluenose,Christian Luthi
2015,1439,Alpha A3,6,CAN 21,Five of Harts,Beneteau First 10R,Gordon  Hart
2015,1439,Bravo B2,1,CAN 256,Flux,J 30,Jordan MacNeil
2015,1439,Bravo B1,8,USA 121,Goat Whisperer,J 80,Dale Robertson
2015,1439,Alpha A2,8,CAN 15005,Grand Cru,J 120,Mike Kennedy
2015,1439,Bluenose,12,162,Hackmatack,Bluenose,Nicholas Lewin
2015,1439,Bravo B1,2,CAN 57,Head Games,J 29 FR OB,Terry Schnare
2015,1439,Sonar,6,CAN 355,Hearts3,Sonar,Graham Eisenhauer
2015,1439,Alpha A1,7,CAN 54340,Helms Deep,Soto 40,Mike Sutton
2015,1439,Bravo B2,2,CAN 34440,Highlander,DB1,Dan Pride
2015,1439,J 24,6,CAN 2113,Hold Fast,J 24,Daniel Males
2015,1439,Bluenose,16,CAN 66,Hornpipe,Bluenose,Mathew Murphy
2015,1439,Bravo B3,3,CAN 131,Hotspur,Santana 23,Tyson Hynes
2015,1439,Bravo B2,8,CAN 23,Hummin,Soling,Bill Haliburton
2015,1439,J 24,2,CAN 3968,HypeWave,J 24,Chris  Veinot
2015,1439,Bravo B1,13,KC 670,Illusion,Windward Yachts 36,Mike Morris
2015,1439,Bravo B2,5,CAN 83270,Incorrigible,J 27,Sam Lamey
2015,1439,Bluenose,17,B 47,Island Girl,Bluenose,Travis Blain
2015,1439,Bravo B1,6,CAN 84675,J (2.2),J 29,Jim Snair
2015,1439,Alpha A3,4,CAN 229,J 35,J 35,Andrew Childs
2015,1439,Alpha A3,7,CAN 282,J Hawk,J 35,Thane MacDonald
2015,1439,Alpha A3,1,USA 41057,J'ai Tu,J 35,Rodney Johnstone / Gary Bennett
